Timestamp,Quantité consommée (mW),Prix
2024-03-03 08:46:57,2187,404595
2024-03-03 08:46:57,2171,401635
2024-03-03 08:46:58,2189,404965
2024-03-03 08:46:58,2173,402005
2024-03-03 08:46:58,2189,404965
2024-03-03 08:46:58,2173,402005
2024-03-03 08:46:58,2191,405335
2024-03-03 08:46:58,2177,402745
2024-03-03 08:46:58,2168,401080
2024-03-03 08:46:58,2188,404780
2024-03-03 08:46:58,2173,402005
2024-03-03 08:46:58,2191,405335
2024-03-03 08:46:58,2177,402745
2024-03-03 08:46:58,2166,400710
2024-03-03 08:46:58,2189,404965
2024-03-03 08:46:58,2177,402745
2024-03-03 08:46:58,2167,400895
2024-03-03 08:46:58,2189,404965
2024-03-03 08:46:58,2175,402375
2024-03-03 08:46:58,2191,405335
2024-03-03 08:46:58,2177,402745
2024-03-03 08:46:58,2167,400895
2024-03-03 08:46:58,2189,404965
2024-03-03 08:46:58,2174,402190
2024-03-03 08:46:58,2191,405335
2024-03-03 08:46:58,2178,402930
2024-03-03 08:46:58,2167,400895
2024-03-03 08:46:58,2188,404780
2024-03-03 08:46:58,2177,402745
2024-03-03 08:46:58,2167,400895
2024-03-03 08:46:58,2189,404965
2024-03-03 08:46:58,2187,404595
2024-03-03 08:46:58,2176,402560
2024-03-03 08:46:58,2168,401080
2024-03-03 08:46:58,2189,404965
2024-03-03 08:46:58,2177,402745
2024-03-03 08:46:58,2169,401265
2024-03-03 08:46:58,2190,405150
2024-03-03 08:46:58,2179,403115
2024-03-03 08:46:58,2169,401265
2024-03-03 08:46:58,2189,404965
2024-03-03 08:46:58,2179,403115
2024-03-03 08:46:58,2171,401635
2024-03-03 08:46:58,2191,405335
2024-03-03 08:46:58,2179,403115
2024-03-03 08:46:58,2171,401635
2024-03-03 08:46:58,2191,405335
2024-03-03 08:46:58,2179,403115
2024-03-03 08:46:58,2171,401635
2024-03-03 08:46:58,2190,405150
2024-03-03 08:46:58,2178,402930
2024-03-03 08:46:58,2170,401450
2024-03-03 08:46:58,2191,405335
2024-03-03 08:46:58,2178,402930
2024-03-03 08:46:58,2169,401265
2024-03-03 08:46:58,2190,405150
2024-03-03 08:46:58,2177,402745
2024-03-03 08:46:58,2170,401450
2024-03-03 08:46:58,2191,405335
2024-03-03 08:46:58,2181,403485
2024-03-03 08:46:58,2174,402190
2024-03-03 08:46:59,2193,405705
2024-03-03 08:46:59,2179,403115
2024-03-03 08:46:59,2172,401820
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2180,403300
2024-03-03 08:46:59,2173,402005
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2182,403670
2024-03-03 08:46:59,2177,402745
2024-03-03 08:46:59,2168,401080
2024-03-03 08:46:59,2190,405150
2024-03-03 08:46:59,2179,403115
2024-03-03 08:46:59,2169,401265
2024-03-03 08:46:59,2190,405150
2024-03-03 08:46:59,2179,403115
2024-03-03 08:46:59,2172,401820
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2181,403485
2024-03-03 08:46:59,2171,401635
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2179,403115
2024-03-03 08:46:59,2173,402005
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2181,403485
2024-03-03 08:46:59,2172,401820
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2180,403300
2024-03-03 08:46:59,2171,401635
2024-03-03 08:46:59,2194,405890
2024-03-03 08:46:59,2181,403485
2024-03-03 08:46:59,2175,402375
2024-03-03 08:46:59,2195,406075
2024-03-03 08:46:59,2182,403670
2024-03-03 08:46:59,2173,402005
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2181,403485
2024-03-03 08:46:59,2173,402005
2024-03-03 08:46:59,2197,406445
2024-03-03 08:46:59,2183,403855
2024-03-03 08:46:59,2175,402375
2024-03-03 08:46:59,2195,406075
2024-03-03 08:46:59,2182,403670
2024-03-03 08:46:59,2173,402005
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2181,403485
2024-03-03 08:46:59,2173,402005
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2180,403300
2024-03-03 08:46:59,2172,401820
2024-03-03 08:46:59,2189,404965
2024-03-03 08:46:59,2178,402930
2024-03-03 08:46:59,2169,401265
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2181,403485
2024-03-03 08:46:59,2173,402005
2024-03-03 08:46:59,2191,405335
2024-03-03 08:46:59,2181,403485
2024-03-03 08:46:59,2172,401820
2024-03-03 08:46:59,2191,405335
2024-03-03 08:47:00,2181,403485
2024-03-03 08:47:00,2174,402190
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2182,403670
2024-03-03 08:47:00,2173,402005
2024-03-03 08:47:00,2194,405890
2024-03-03 08:47:00,2181,403485
2024-03-03 08:47:00,2171,401635
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2181,403485
2024-03-03 08:47:00,2173,402005
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2181,403485
2024-03-03 08:47:00,2173,402005
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2181,403485
2024-03-03 08:47:00,2173,402005
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2182,403670
2024-03-03 08:47:00,2177,402745
2024-03-03 08:47:00,2170,401450
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2179,403115
2024-03-03 08:47:00,2169,401265
2024-03-03 08:47:00,2191,405335
2024-03-03 08:47:00,2182,403670
2024-03-03 08:47:00,2176,402560
2024-03-03 08:47:00,2166,400710
